sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,SRA_accession,SRA_experiment,year,yday,stationId,dist_km
CY_Nic_14_11,Cyprus,Nicosia,2014/08/10,35.066461,33.322646,spring,CY_Nic,pooled,Europe,DrosEU,40,SRR5647756,SRX2885352,2014,222,CY000176090,34.892568545774
DE_Bro_14_14,Germany,Broggingen,2014/06/26,48.218024,7.819513,spring,DE_Bro,pooled,Europe,DrosEU,40,SRR5647762,SRX2885346,2014,177,GME00121750,8.9452604073357
DE_Bro_14_15,Germany,Broggingen,2014/10/15,48.218024,7.819513,fall,DE_Bro,pooled,Europe,DrosEU,40,SRR5647761,SRX2885347,2014,288,GME00121750,8.9452604073357
DE_Bro_15_53,Germany,Broggingen,2015/06/30,48.218,7.82,spring,DE_Bro,pooled,Europe,DrosEU,40,SRR8439148,SRX5246560,2015,181,GME00121750,8.93784265311874
DE_Bro_15_54,Germany,Broggingen,2015/10/25,48.218,7.82,fall,DE_Bro,pooled,Europe,DrosEU,40,SRR8439144,SRX5246564,2015,298,GME00121750,8.93784265311874
DE_Bro_16_10,Germany,Broggingen,2016/07/24,48.218024,7.819513,spring,DE_Bro,pooled,Europe,DrosEU,40,SRR8494434,SRX5299033,2016,206,GME00121750,8.9452604073357
DE_Bro_16_11,Germany,Broggingen,2016/10/23,48.218024,7.819513,fall,DE_Bro,pooled,Europe,DrosEU,40,SRR8494452,SRX5299015,2016,297,GME00121750,8.9452604073357
DE_Mun_14_31,Germany,Munich,2014/06/19,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR5647744,SRX2885364,2014,170,GM000004199,8.1309198667911
DE_Mun_14_32,Germany,Munich,2014/09/03,48.18,11.61,fall,DE_Mun,pooled,Europe,DrosEU,40,SRR5647745,SRX2885363,2014,246,GM000004199,8.1309198667911
DE_Mun_15_45,Germany,Munich,2015/06/01,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR8439125,SRX5246583,2015,152,GM000004199,8.1309198667911
DE_Mun_15_46,Germany,Munich,2015/09/01,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR8439124,SRX5246584,2015,244,GM000004199,8.1309198667911
DE_Mun_16_12,Germany,Munich,2016/06/25,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR8494451,SRX5299016,2016,177,GM000004199,8.1309198667911
DE_Mun_16_13,Germany,Munich,2016/09/01,48.18,11.61,spring,DE_Mun,pooled,Europe,DrosEU,40,SRR8494454,SRX5299013,2016,245,GM000004199,8.1309198667911
DK_Kar_14_39,Denmark,Karensminde,2014/09/01,55.945128,10.212586,fall,DK_Kar,pooled,Europe,DrosEU,40,SRR5647772,SRX2885336,2014,244,DAE00100980,28.1948894483836
DK_Kar_14_41,Denmark,Karensminde,2014/11/25,55.945128,10.212586,fall,DK_Kar,pooled,Europe,DrosEU,40,SRR5647771,SRX2885337,2014,329,DAE00100980,28.1948894483836
DK_Kar_16_2,Denmark,Karensminde Orchard,2016/06/08,55.945128,10.212586,spring,DK_Kar,pooled,Europe,DrosEU,40,SRR8494440,SRX5299027,2016,160,DAE00100980,28.1948894483836
DK_Kar_16_3,Denmark,Karensminde Orchard,2016/09/15,55.945128,10.212586,spring,DK_Kar,pooled,Europe,DrosEU,40,SRR8494438,SRX5299029,2016,259,DAE00100980,28.1948894483836
DK_Kar_16_4,Denmark,Karensminde Orchard,2016/11/22,55.945128,10.212586,fall,DK_Kar,pooled,Europe,DrosEU,40,SRR8494437,SRX5299030,2016,327,DAE00100980,28.1948894483836
ES_Ben_16_32,Spain,Benalua,2016/10/08,37.353733,-3.167179,fall,ES_Ben,pooled,Europe,DrosEU,40,SRR8494475,SRX5298992,2016,282,SPE00120089,58.105906083059
