latitude	longitude	Year	Season	X	Y	spacing_x	spacing_y	colors
30.1	31.32	2011	NA	8.87808	-7.0805	8.87808	-10.6805	black
30.99	-83.37	2008	spring	9.21856333333	2.443005	9.21856333333	2.443005	black
33.39	-80.34	2010	spring	12.8838533333	4.408605	12.8838533333	4.408605	black
33.95	-83.36	2014	fall	9.22965333333	4.950125	9.22965333333	6.750125	black
33.95	-83.36	2014	spring	9.22965333333	4.950125	9.22965333333	4.950125	black
35.066461	33.322646	2014	spring	11.1906452147	-2.40369815323	11.1906452147	-2.40369815323	black
35.76	-78.66	2003	NA	15.1798533333	6.91488	15.1798533333	3.31488	black
37.3308	-3.173416	2015	spring	-11.009101637	-1.090071432	-11.009101637	-1.090071432	black
37.3377875	-3.1786148	2016	spring	-11.0154012016	-1.08681126976	-11.0154012016	-1.08681126976	black
37.353733	-3.167179	2016	fall	-11.0015464273	-1.07938985176	-11.0015464273	0.720610148236	black
37.661547	-2.79631	2015	spring	-10.5569549872	-0.94110872166	-10.5569549872	-0.94110872166	black
37.97	-120.26	2012	fall	-13.6822533333	9.758045	-13.6822533333	11.558045	black
37.97	-120.26	2012	frost	-13.6822533333	9.758045	-13.6822533333	7.958045	black
37.97	-120.26	2013	spring	-13.6822533333	9.758045	-11.6822533333	9.758045	black
37.97	-120.26	2013	fall	-13.6822533333	9.758045	-11.6822533333	11.558045	black
37.97	-120.26	2013	frost	-13.6822533333	9.758045	-11.6822533333	7.958045	black
38.02	-121.2	2012	fall	-14.9813333333	9.82802	-14.9813333333	11.62802	black
38.02	-121.2	2012	frost	-14.9813333333	9.82802	-14.9813333333	8.02802	black
38.02	-121.2	2013	fall	-14.9813333333	9.82802	-12.9813333333	11.62802	black
38.53	-121.97	1998	NA	-16.0893633333	10.556045	-16.0893633333	6.956045	black
38.68	-122.046	2012	spring	-16.2008705333	10.77512	-16.2008705333	10.77512	black
38.68	-122.046	2012	fall	-16.2008705333	10.77512	-16.2008705333	12.57512	black
38.68	-122.046	2012	frost	-16.2008705333	10.77512	-16.2008705333	8.97512	black
38.68	-122.046	2013	spring	-16.2008705333	10.77512	-14.2008705333	10.77512	black
38.68	-122.046	2013	fall	-16.2008705333	10.77512	-14.2008705333	12.57512	black
38.74	-120.74	2012	fall	-14.3382533333	10.86338	-14.3382533333	12.66338	black
38.74	-120.74	2012	frost	-14.3382533333	10.86338	-14.3382533333	9.06338	black
38.74	-120.74	2013	fall	-14.3382533333	10.86338	-12.3382533333	12.66338	black
38.74	-120.74	2013	frost	-14.3382533333	10.86338	-12.3382533333	9.06338	black
38.0	-78.47	2012	spring	15.4513633333	9.8	15.4513633333	9.8	black
38.0	-78.47	2014	fall	15.4513633333	9.8	17.4513633333	11.6	black
38.0	-78.47	2014	spring	15.4513633333	9.8	17.4513633333	9.8	black
38.0	-78.47	2015	fall	15.4513633333	9.8	19.4513633333	11.6	black
38.0	-78.47	2015	spring	15.4513633333	9.8	19.4513633333	9.8	black
38.0	-78.47	2012	fall	15.4513633333	9.8	15.4513633333	11.6	black
39.0913433	-95.6246509	2014	spring	0.638122658229	11.3874321299	0.638122658229	11.3874321299	black
39.152529	-3.0616048	2016	spring	-10.874052265	-0.405404554792	-10.874052265	-0.405404554792	black
39.152529	-3.0616048	2016	fall	-10.874052265	-0.405404554792	-10.874052265	1.39459544521	black
39.15805	-3.021	2015	fall	-10.8252147	-0.403833990125	-10.8252147	1.39616600988	black
39.15805	-3.021	2015	spring	-10.8252147	-0.403833990125	-10.8252147	-0.403833990125	black
39.202831	-95.741527	2014	fall	0.604486409724	11.5563035207	0.604486409724	13.3563035207	black
39.88	-75.41	2011	spring	20.1556033333	12.60872	24.1556033333	12.60872	black
39.88	-75.41	2009	spring	20.1556033333	12.60872	20.1556033333	12.60872	black
39.88	-75.41	2009	fall	20.1556033333	12.60872	20.1556033333	14.40872	black
39.88	-75.41	2010	fall	20.1556033333	12.60872	22.1556033333	14.40872	black
39.88	-75.41	2010	spring	20.1556033333	12.60872	22.1556033333	12.60872	black
39.88	-75.41	2011	fall	20.1556033333	12.60872	24.1556033333	14.40872	black
39.88	-75.41	2011	frost	20.1556033333	12.60872	24.1556033333	10.80872	black
39.88	-75.41	2012	spring	20.1556033333	12.60872	26.1556033333	12.60872	black
39.88	-75.41	2012	fall	20.1556033333	12.60872	26.1556033333	14.40872	black
39.88	-75.41	2013	spring	20.1556033333	12.60872	28.1556033333	12.60872	black
39.88	-75.41	2014	fall	20.1556033333	12.60872	30.1556033333	14.40872	black
39.88	-75.41	2014	spring	20.1556033333	12.60872	30.1556033333	12.60872	black
39.88	-75.41	2015	fall	20.1556033333	12.60872	32.1556033333	14.40872	black
39.88	-75.41	2015	spring	20.1556033333	12.60872	32.1556033333	12.60872	black
39.88	-75.41	2012	fall	20.1556033333	12.60872	26.1556033333	14.40872	black
39.91	116.41	1992	NA	342.799603333	-0.218405	342.799603333	-3.818405	black
40.11	-88.21	2015	spring	4.63347	12.976605	4.63347	12.976605	black
40.231444	32.260328	2014	spring	9.93063075559	-0.156389516257	9.93063075559	-0.156389516257	black
40.231444	32.260328	2014	fall	9.93063075559	-0.156389516257	9.93063075559	1.64361048374	black
40.231444	32.260328	2015	spring	9.93063075559	-0.156389516257	11.9306307556	-0.156389516257	black
40.231444	32.260328	2015	spring	9.93063075559	-0.156389516257	11.9306307556	-0.156389516257	black
40.231444	32.260328	2015	spring	9.93063075559	-0.156389516257	11.9306307556	-0.156389516257	black
40.231444	32.260328	2015	spring	9.93063075559	-0.156389516257	11.9306307556	-0.156389516257	black
40.231444	32.260328	2015	spring	9.93063075559	-0.156389516257	11.9306307556	-0.156389516257	black
40.231444	32.260328	2015	fall	9.93063075559	-0.156389516257	11.9306307556	1.64361048374	black
40.231444	32.260328	2016	spring	9.93063075559	-0.156389516257	13.9306307556	-0.156389516257	black
40.231444	32.260328	2016	spring	9.93063075559	-0.156389516257	13.9306307556	-0.156389516257	black
40.231444	32.260328	2016	spring	9.93063075559	-0.156389516257	13.9306307556	-0.156389516257	black
40.231444	32.260328	2016	spring	9.93063075559	-0.156389516257	13.9306307556	-0.156389516257	black
40.231444	32.260328	2016	spring	9.93063075559	-0.156389516257	13.9306307556	-0.156389516257	black
40.231444	32.260328	2016	fall	9.93063075559	-0.156389516257	13.9306307556	1.64361048374	black
40.793395	-77.860001	2014	fall	16.339318524	14.1009057813	16.339318524	15.9009057813	black
40.793395	-77.860001	2014	spring	16.339318524	14.1009057813	16.339318524	14.1009057813	black
40.793395	-77.860001	2015	spring	16.339318524	14.1009057813	18.339318524	14.1009057813	black
41.15	-8.41	2014	fall	-18.2676033333	-0.036125	-18.2676033333	1.763875	black
41.15	-8.41	2015	spring	-18.2676033333	-0.036125	-16.2676033333	-0.036125	black
41.15	-8.41	2016	fall	-18.2676033333	-0.036125	-14.2676033333	1.763875	black
41.38	2.17	2012	spring	-5.48696333333	-0.01922	-5.48696333333	-0.01922	black
41.38	2.17	2012	fall	-5.48696333333	-0.01922	-5.48696333333	1.78078	black
41.6175899	0.6200146	2014	fall	-6.89279933681	-0.0073118742291	-6.89279933681	1.79268812577	black
41.6175899	0.6200146	2014	spring	-6.89279933681	-0.0073118742291	-6.89279933681	-0.0073118742291	black
41.656416	0.388472	2015	spring	-7.11655834983	-0.0059024982528	-7.11655834983	-0.0059024982528	black
41.656416	0.388472	2015	fall	-7.11655834983	-0.0059024982528	-7.11655834983	1.79409750175	black
41.656416	0.388472	2016	spring	-7.11655834983	-0.0059024982528	-5.11655834983	-0.0059024982528	black
41.656416	0.388472	2016	fall	-7.11655834983	-0.0059024982528	-5.11655834983	1.79409750175	black
42.1111	-86.4483	2014	fall	6.12161909633	16.4005971605	6.12161909633	18.2005971605	black
42.1111	-86.4483	2014	spring	6.12161909633	16.4005971605	6.12161909633	16.4005971605	black
42.35	-76.57	2004	NA	18.29883	16.836125	18.29883	13.236125	black
42.44	-76.5	2012	spring	18.4083333333	17.00168	18.4083333333	17.00168	black
42.44	-76.5	2012	fall	18.4083333333	17.00168	18.4083333333	18.80168	black
42.45	-71.67	2012	spring	26.7529633333	17.020125	26.7529633333	17.020125	black
42.45	-71.67	2012	fall	26.7529633333	17.020125	26.7529633333	18.820125	black
42.45	-71.67	2014	fall	26.7529633333	17.020125	28.7529633333	18.820125	black
42.45	-71.67	2014	spring	26.7529633333	17.020125	28.7529633333	17.020125	black
43.11	-89.65	2012	spring	3.57075	18.259605	3.57075	18.259605	black
43.11	-89.65	2012	fall	3.57075	18.259605	3.57075	20.059605	black
43.11	-89.65	2012	frost	3.57075	18.259605	3.57075	16.459605	black
43.11	-89.65	2013	spring	3.57075	18.259605	5.57075	18.259605	black
43.11	-89.65	2013	fall	3.57075	18.259605	5.57075	20.059605	black
43.11	-89.65	2014	spring	3.57075	18.259605	7.57075	18.259605	black
43.11	-89.65	2014	fall	3.57075	18.259605	7.57075	20.059605	black
43.4	22.42	2016	spring	1.83521333333	0.098	1.83521333333	0.098	black
43.4	22.42	2016	spring	1.83521333333	0.098	1.83521333333	0.098	black
44.5015	34.1661	2016	spring	12.244646307	0.3128751125	12.244646307	0.3128751125	black
44.5015	34.16611944	2014	spring	12.2446711463	0.3128751125	12.2446711463	0.3128751125	black
44.5015	34.16611944	2014	spring	12.2446711463	0.3128751125	12.2446711463	0.3128751125	black
44.5015	34.16611944	2015	spring	12.2446711463	0.3128751125	14.2446711463	0.3128751125	black
44.5015	34.16611944	2015	spring	12.2446711463	0.3128751125	14.2446711463	0.3128751125	black
44.976813	4.930005	2014	spring	-3.38015997667	0.443070781848	-3.38015997667	0.443070781848	black
44.976813	4.930005	2016	spring	-3.38015997667	0.443070781848	-1.38015997667	0.443070781848	black
44.977	4.93	2015	spring	-3.38016333333	0.44312645	-3.38016333333	0.44312645	black
44.977	4.93	2015	spring	-3.38016333333	0.44312645	-3.38016333333	0.44312645	black
44.977	4.93	2015	fall	-3.38016333333	0.44312645	-3.38016333333	2.24312645	black
44.0	-69.96	2009	fall	30.0800533333	20.0	30.0800533333	21.8	black
44.0	-69.96	2009	fall	30.0800533333	20.0	30.0800533333	21.8	black
45.15	20.18	2016	spring	0.894413333333	0.496125	0.894413333333	0.496125	black
45.15	20.18	2016	spring	0.894413333333	0.496125	0.894413333333	0.496125	black
45.77	4.86	2010	NA	-3.42732	0.710645	-3.42732	-2.889355	black
46.212856	11.08755	2015	spring	-0.51024216675	0.887407783837	-0.51024216675	0.887407783837	black
46.217939	11.123423	2015	fall	-0.500928307898	0.889550470386	-0.500928307898	2.68955047039	black
46.25	20.13	2016	spring	0.87723	0.903125	0.87723	0.903125	black
46.2	11.13333	2016	spring	-0.49837122963	0.882	-0.49837122963	0.882	black
46.44155556	30.77169444	2014	spring	8.29154485029	0.986370789628	8.29154485029	0.986370789628	black
46.44155556	30.77169444	2014	spring	8.29154485029	0.986370789628	8.29154485029	0.986370789628	black
46.44155556	30.77169444	2014	spring	8.29154485029	0.986370789628	8.29154485029	0.986370789628	black
46.44155556	30.77169444	2014	fall	8.29154485029	0.986370789628	8.29154485029	2.78637078963	black
46.44155556	30.77169444	2015	spring	8.29154485029	0.986370789628	10.2915448503	0.986370789628	black
46.44155556	30.77169444	2015	spring	8.29154485029	0.986370789628	10.2915448503	0.986370789628	black
46.44155556	30.77169444	2015	spring	8.29154485029	0.986370789628	10.2915448503	0.986370789628	black
46.44155556	30.77169444	2015	spring	8.29154485029	0.986370789628	10.2915448503	0.986370789628	black
46.44155556	30.77169444	2016	spring	8.29154485029	0.986370789628	12.2915448503	0.986370789628	black
46.44	30.77	2016	spring	8.28976333333	0.98568	8.28976333333	0.98568	black
46.49	30.71	2013	fall	8.22680333333	1.008005	8.22680333333	2.808005	black
46.49	30.71	2013	spring	8.22680333333	1.008005	8.22680333333	1.008005	black
46.53	-80.96	2015	spring	12.0840533333	25.380045	12.0840533333	25.380045	black
46.53	-80.96	2015	fall	12.0840533333	25.380045	12.0840533333	27.180045	black
46.5670416	6.701867	2014	spring	-2.29530037619	1.04289344881	-2.29530037619	1.04289344881	black
46.5670416	6.701867	2014	fall	-2.29530037619	1.04289344881	-2.29530037619	2.84289344881	black
46.5670416	6.701867	2015	spring	-2.29530037619	1.04289344881	-0.29530037619	1.04289344881	black
46.5670416	6.701867	2016	spring	-2.29530037619	1.04289344881	1.70469962381	1.04289344881	black
46.8136889	13.50794792	2014	spring	-0.0742073136477	1.1585800413	-0.0742073136477	1.1585800413	black
46.8136889	13.50794792	2016	spring	-0.0742073136477	1.1585800413	1.92579268635	1.1585800413	black
47.61	-122.33	2014	spring	-16.6209633333	27.871605	-16.6209633333	27.871605	black
48.18	11.61	2014	spring	-0.38307	1.90962	-0.38307	1.90962	black
48.18	11.61	2014	fall	-0.38307	1.90962	-0.38307	3.70962	black
48.18	11.61	2015	spring	-0.38307	1.90962	1.61693	1.90962	black
48.18	11.61	2015	spring	-0.38307	1.90962	1.61693	1.90962	black
48.18	11.61	2016	spring	-0.38307	1.90962	3.61693	1.90962	black
48.18	11.61	2016	spring	-0.38307	1.90962	3.61693	1.90962	black
48.218024	7.819513	2014	spring	-1.71864645191	1.93319112323	-1.71864645191	1.93319112323	black
48.218024	7.819513	2014	fall	-1.71864645191	1.93319112323	-1.71864645191	3.73319112323	black
48.218024	7.819513	2016	spring	-1.71864645191	1.93319112323	0.281353548094	1.93319112323	black
48.218024	7.819513	2016	fall	-1.71864645191	1.93319112323	0.281353548094	3.73319112323	black
48.218	7.82	2015	spring	-1.71841333333	1.9331762	-1.71841333333	1.9331762	black
48.218	7.82	2015	fall	-1.71841333333	1.9331762	-1.71841333333	3.7331762	black
48.2	16.37	2012	spring	0.0625633333333	1.922	0.0625633333333	1.922	black
48.2	16.37	2012	fall	0.0625633333333	1.922	0.0625633333333	3.722	black
48.375	15.56	2014	spring	0.0104533333333	2.03203125	0.0104533333333	2.03203125	black
48.375	15.56	2014	fall	0.0104533333333	2.03203125	0.0104533333333	3.83203125	black
48.375	15.56	2015	spring	0.0104533333333	2.03203125	2.01045333333	2.03203125	black
48.375	15.56	2015	fall	0.0104533333333	2.03203125	2.01045333333	3.83203125	black
48.75327778	30.20580556	2014	fall	7.70721742428	2.28033803869	7.70721742428	4.08033803869	black
48.75327778	30.20580556	2015	spring	7.70721742428	2.28033803869	9.70721742428	2.28033803869	black
48.7543324	2.1584108	2014	spring	-5.49688043939	2.28105030848	-5.49688043939	2.28105030848	black
48.7543324	2.1584108	2014	fall	-5.49688043939	2.28105030848	-5.49688043939	4.08105030848	black
48.7543324	2.1584108	2016	spring	-5.49688043939	2.28105030848	-3.49688043939	2.28105030848	black
48.754	2.158	2015	spring	-5.49723213333	2.2808258	-5.49723213333	2.2808258	black
48.754	2.158	2015	fall	-5.49723213333	2.2808258	-5.49723213333	4.0808258	black
48.75	30.2	2016	spring	7.70133333333	2.278125	7.70133333333	2.278125	black
48.76	30.17	2016	spring	7.67096333333	2.28488	7.67096333333	2.28488	black
49.32991667	23.50280556	2014	spring	2.40992341304	2.68638391946	2.40992341304	2.68638391946	black
49.32991667	23.50280556	2015	spring	2.40992341304	2.68638391946	4.40992341304	2.68638391946	black
49.32991667	23.50280556	2016	spring	2.40992341304	2.68638391946	6.40992341304	2.68638391946	black
49.72	31.53	2016	spring	9.10803	2.97992	9.10803	2.97992	black
49.81852778	36.05475	2014	spring	14.7767499187	3.05646883233	14.7767499187	3.05646883233	black
49.81852778	36.05475	2014	fall	14.7767499187	3.05646883233	14.7767499187	4.85646883233	black
49.81852778	36.05475	2015	spring	14.7767499187	3.05646883233	16.7767499187	3.05646883233	black
49.81852778	36.05475	2016	spring	14.7767499187	3.05646883233	18.7767499187	3.05646883233	black
50.25375	32.51880556	2014	spring	10.2302849416	3.40621945312	10.2302849416	3.40621945312	black
50.25375	32.51880556	2015	spring	10.2302849416	3.40621945312	12.2302849416	3.40621945312	black
50.34402778	30.48911111	2014	spring	7.9970854326	3.48113997967	7.9970854326	3.48113997967	black
50.34402778	30.48911111	2014	fall	7.9970854326	3.48113997967	7.9970854326	5.28113997967	black
50.34402778	30.48911111	2014	fall	7.9970854326	3.48113997967	7.9970854326	5.28113997967	black
50.383374	30.368038	2015	spring	7.87255306565	3.51404798119	7.87255306565	3.51404798119	black
50.3834	30.3682	2016	spring	7.87271904133	3.514069778	7.87271904133	3.514069778	black
50.38	30.36	2016	fall	7.86432	3.51122	7.86432	5.31122	black
50.38	30.36	2016	spring	7.86432	3.51122	7.86432	3.51122	black
50.48469444	32.71425	2014	spring	10.4598217688	3.59950198701	10.4598217688	3.59950198701	black
50.48469444	32.71425	2015	spring	10.4598217688	3.59950198701	12.4598217688	3.59950198701	black
50.48469444	32.71425	2016	spring	10.4598217688	3.59950198701	14.4598217688	3.59950198701	black
50.53752	32.51880556	2016	spring	10.2302849416	3.64446238752	10.2302849416	3.64446238752	black
51.27263889	30.22136111	2014	fall	7.72299446803	4.29909159922	7.72299446803	6.09909159922	black
51.27263889	30.22136111	2015	spring	7.72299446803	4.29909159922	9.72299446803	4.29909159922	black
51.27888889	29.39438889	2014	fall	6.90661438389	4.30488895165	6.90661438389	6.10488895165	black
51.27888889	29.39438889	2015	spring	6.90661438389	4.30488895165	8.90661438389	4.30488895165	black
51.279245	30.213118	2015	spring	7.71463197606	4.3052193885	7.71463197606	4.3052193885	black
51.279245	30.213118	2015	spring	7.71463197606	4.3052193885	7.71463197606	4.3052193885	black
51.279245	30.213118	2015	spring	7.71463197606	4.3052193885	7.71463197606	4.3052193885	black
51.279245	30.213118	2015	spring	7.71463197606	4.3052193885	7.71463197606	4.3052193885	black
51.27	30.21	2016	spring	7.71147	4.296645	7.71147	4.296645	black
51.3352	30.136179	2015	spring	7.63679715733	4.357297952	7.63679715733	4.357297952	black
51.37330556	30.13830556	2014	fall	7.63894317426	4.39294285606	7.63894317426	6.19294285606	black
51.37330556	30.13830556	2015	spring	7.63894317426	4.39294285606	9.63894317426	4.39294285606	black
51.37	30.13	2016	spring	7.63056333333	4.389845	7.63056333333	4.389845	black
51.38691667	30.07330556	2014	fall	7.5734846835	4.40571022848	7.5734846835	6.20571022848	black
51.38691667	30.07330556	2015	spring	7.5734846835	4.40571022848	9.5734846835	4.40571022848	black
51.38691667	30.07330556	2016	spring	7.5734846835	4.40571022848	11.5734846835	4.40571022848	black
51.4	30.05416645	2016	spring	7.55426425014	4.418	7.55426425014	4.418	black
52.02	5.1	1998	NA	-3.267	5.02002	-3.267	1.42002	black
52.142193	23.662434	2015	spring	2.50125876015	5.14320394246	2.50125876015	5.14320394246	black
52.433592	-1.102667	2014	fall	-8.64319615043	5.44299210112	-8.64319615043	7.24299210112	black
52.4608	-0.959	2015	spring	-8.48965603333	5.471416832	-8.48965603333	5.471416832	black
52.46	-0.959	2016	fall	-8.48965603333	5.47058	-8.48965603333	7.27058	black
52.475769	-0.921517	2014	fall	-8.44982345271	5.48708680707	-8.44982345271	7.28708680707	black
53.39052	-1.520599	2014	spring	-9.09767304396	6.48719729352	-9.09767304396	6.48719729352	black
53.391	-1.521	2015	fall	-9.0981147	6.48774405	-9.0981147	8.28774405	black
53.99778	38.13167	2015	spring	17.835805233	7.19733624642	17.835805233	7.19733624642	black
54.27342	19.620169	2015	spring	0.711532052952	7.53184192482	0.711532052952	7.53184192482	black
54.27342	19.620169	2016	spring	0.711532052952	7.53184192482	2.71153205295	7.53184192482	black
54.35	18.64	2016	spring	0.441653333333	7.626125	0.441653333333	7.626125	black
55.694	13.198	2014	spring	-0.108240133333	9.3762818	-0.108240133333	9.3762818	black
55.694	13.198	2015	spring	-0.108240133333	9.3762818	1.89175986667	9.3762818	black
55.694	13.198	2015	spring	-0.108240133333	9.3762818	1.89175986667	9.3762818	black
55.945128	10.212586	2014	fall	-0.763977760247	9.72332974682	-0.763977760247	11.5233297468	black
55.945128	10.212586	2014	fall	-0.763977760247	9.72332974682	-0.763977760247	11.5233297468	black
55.945128	10.212586	2016	spring	-0.763977760247	9.72332974682	1.23602223975	9.72332974682	black
55.945128	10.212586	2016	spring	-0.763977760247	9.72332974682	1.23602223975	9.72332974682	black
55.945128	10.212586	2016	fall	-0.763977760247	9.72332974682	1.23602223975	11.5233297468	black
55.972871	-3.351475	2014	spring	-11.2258878225	9.76205619913	-11.2258878225	9.76205619913	black
56.344534	-2.952766	2015	spring	-10.7433935684	10.2882827839	-10.7433935684	10.2882827839	black
56.3447	-2.9525	2016	spring	-10.7430752083	10.2885209045	-10.7430752083	10.2885209045	black
56.41472	38.71611	2015	spring	18.7484624511	10.3892076339	18.7484624511	10.3892076339	black
56.41472	38.71611	2016	fall	18.7484624511	10.3892076339	20.7484624511	12.1892076339	black
57.9788789	33.243615	2014	spring	11.0943162756	12.766228545	11.0943162756	12.766228545	black
58.02444	33.235277	2016	spring	11.0841775756	12.8391338657	11.0841775756	12.8391338657	black
58.02444	33.235277	2016	spring	11.0841775756	12.8391338657	11.0841775756	12.8391338657	black
58.02444	33.235277	2016	fall	11.0841775756	12.8391338657	11.0841775756	14.6391338657	black
58.024	33.23528	2015	spring	11.0841812226	12.8384288	11.0841812226	12.8384288	black
58.024	33.23528	2015	fall	11.0841812226	12.8384288	11.0841812226	14.6384288	black
6.25	10.43	2004	NA	3.62616333333	1.953125	3.62616333333	-1.646875	black
6.98	39.18	2008	NA	51.16908	2.43602	51.16908	-1.16398	black
61.1	23.52	2014	spring	2.41968	18.2405	2.41968	18.2405	black
61.1	23.52	2014	spring	2.41968	18.2405	2.41968	18.2405	black
61.1	23.52	2015	fall	2.41968	18.2405	4.41968	20.0405	black
61.1	23.52	2015	spring	2.41968	18.2405	4.41968	18.2405	black
61.1	23.52	2016	spring	2.41968	18.2405	6.41968	18.2405	black
61.1	23.52	2016	spring	2.41968	18.2405	6.41968	18.2405	black
62.55	26.24	2014	spring	4.21125333333	21.115125	4.21125333333	21.115125	black
62.55	26.24	2016	spring	4.21125333333	21.115125	6.21125333333	21.115125	black
7.93	38.72	2008	NA	49.9746133333	3.144245	49.9746133333	-0.455755	black
8.25	34.59	2011	NA	39.88227	3.403125	39.88227	-0.196875	black
9.81	38.63	2011	NA	49.7425633333	4.811805	49.7425633333	1.211805	black
