"","sampleId","propSimNorm"
"123","UA_Kan_16_57",0.00845658036791558
"124","UA_Kha_14_45",0.00933646594451293
"125","UA_Kha_14_46",0.00984686975144052
"126","UA_Kha_15_19",0.008971539251445
"127","UA_Kha_16_58",0.0088197666063803
"128","UA_Kyi_14_23",0.00811898168302063
"129","UA_Kyi_14_24",0.00767438806276804
"130","UA_Kyi_14_49",0.0500101457728073
"131","UA_Kyi_15_64",0.0089481852223595
"132","UA_Kyi_16_44",0.00917639732132874
"133","UA_Kyi_16_45",0.00954705382632199
"134","UA_Kyi_16_59",0.00863751025116273
"135","UA_Ode_14_19",0.0193782075367874
"136","UA_Ode_14_20",0.00771237423810699
"137","UA_Ode_14_21",0.0443538303112331
"138","UA_Ode_14_22",0.0374947565727927
"139","UA_Ode_15_11",0.282461251056114
"140","UA_Ode_15_20",0.00771986980590383
"141","UA_Ode_15_22",0.0940221875039719
"142","UA_Ode_15_66",0.00881697999835174
"143","UA_Ode_16_46",0.115488982611875
"144","UA_Ode_16_47",0.0455865218099494
"145","UA_Pir_14_26",0.00747723025928453
"146","UA_Pir_15_21",0.0080060055916438
"147","UA_Pyr_16_48",0.0538251491917473
"148","UA_Pyr_16_49",0.00883242190677059
"149","UA_Uma_14_50",0.00886305445150245
"150","UA_Uma_15_9",0.00808314749186775
"151","UA_Uma_16_50",0.00997534346028833
"152","UA_Uma_16_51",0.0102173717151338
"153","UA_Var_14_25",0.00784238654457154
"154","UA_Var_15_18",0.00807229079665532
"155","UA_Var_16_60",0.00860327008495746
"156","UA_Yal_14_16",0.0075476505430218
"157","UA_Yal_14_18",0.00767225408949635
"158","UA_Yal_15_23",0.00846904134600894
"159","UA_Yal_15_63",0.00867183108508648
"160","UA_Yal_16_61",0.00850441821820013
"161","UK_Dai_15_52",0.00796389640921148
"162","UK_Dai_16_23",0.00851267076123502
"163","UK_Lut_14_13",0.00762618826763292
"164","UK_Mar_14_12",0.00759454197943199
"165","UK_Mar_15_42",0.00877774016802423
"166","UK_Mar_16_53",0.00828638397017763
"167","UK_She_14_09",0.00909365844575476
"168","UK_She_15_17",0.0082688381654576
"169","UK_Sou_14_10",0.0095724212383197
"170","ES_ba_12_spring",0.0131418045191891
"171","ES_ba_12_fall",0.0133611991289696
"172","FL_ho_10_spring",0.0140840981441577
"173","FL_ho_10_fall",0.0542105204869124
"174","GA_ha_08_spring",0.0130370740138883
"175","MA_la_12_spring",0.0128545203864551
"176","MA_la_12_fall",0.0125878461262845
"177","ME_bo_09_fall.r1",0.0128250228328782
"178","ME_bo_09_fall.r2",0.0185238713871938
"179","NC_ra_03_n",0.0130495670594119
"180","NY_it_12_spring",0.0128733744677039
"181","NY_it_12_fall",0.0132157418083023
"182","PA_li_12_spring",0.0298657358050231
"183","PA_li_11_fall",0.0118821226256951
"184","PA_li_12_fall",0.0584987900495295
"185","PA_li_09_fall",0.0122915001847148
"186","PA_li_10_fall",0.0124868174089598
"187","PA_li_11_frost",0.040160263743283
"188","PA_li_09_spring",0.0127243157630016
"189","PA_li_10_spring",0.012318625756098
"190","PA_li_11_spring",0.01384283516006
"191","PA_li_12_sum",0.0128679232154626
"192","SC_eu_10_spring",0.013543829940291
"193","VA_ch_12_spring",0.0146736300268487
"194","VA_ch_12_fall",0.192170110412028
"195","AT_gr_12_spring",0.0123641061566889
"196","AT_gr_12_fall",0.0120962941961285
"197","WI_cp_12_spring",0.0122310515179662
"198","WI_cp_12_fall",0.0126900563687342
"199","WI_cp_12_frost",0.0122550685831438
"200","CA_es_12_spring",0.010075970990384
"201","WI_cp_13_spring",0.0084671277234072
"202","WI_cp_13_fall",0.0251645022230891
"203","PA_li_13_spring",0.00924643874184741
"204","UA_od_13_fall",0.00829381193229149
"205","UA_od_13_spring",0.00901638264221451
"206","CA_es_12_fall",0.0146530564816254
"207","CA_pl_12_fall",0.0195939013441949
"208","GA_at_14_fall",0.00905265368847555
"209","GA_at_14_spring",0.00857884538022664
"210","MI_bh_14_fall",0.00847446316569844
"211","MI_bh_14_spring",0.00822671468168077
"212","VA_ch_14_fall",0.00836788563963036
"213","VA_ch_14_spring",0.00898994876068537
"214","WI_cp_14_spring",0.0084229642187696
"215","WI_cp_14_fall",0.00672629565318488
"216","MA_la_14_fall",0.00817140259015323
"217","MA_la_14_spring",0.00846003563801892
"218","PA_li_14_fall",0.00859467093526164
"219","PA_li_14_spring",0.00920100876479414
"220","PA_st_14_fall",0.00904897787919509
"221","PA_st_14_spring",0.00868661835607605
"222","KA_to_14_fall",0.00891487631188201
"223","KA_to_14_spring",0.00886481585161656
"224","WA_se_14_spring",0.00666383551796593
"225","CA_st_12_fall",0.021705523013769
"226","CA_tu_12_fall",0.0161261109817887
"227","CA_st_12_frost",0.0335674536938598
"228","CA_tu_12_frost",0.0120425282800636
"229","VA_ch_15_fall",0.00834945747641675
"230","VA_ch_15_spring",0.00839746155441163
"231","PA_li_15_fall",0.05927597071577
"232","PA_li_15_spring",0.0089868555098455
"233","PA_st_15_spring",0.00845535356206946
"234","ON_su_15_spring",0.00845774820204036
"235","ON_su_15_fall",0.00817509604125008
"236","IL_ur_15_spring",0.00936306542250028
"237","CA_pl_12_frost",0.00987412809915915
"238","CA_es_12_frost",0.0260922116801944
"239","CA_es_13_spring",0.0515450156660437
"240","CA_tu_13_spring",0.0126948522549245
"241","CA_pl_13_fall",0.0174874786632837
"242","CA_tu_13_fall",0.017175441055347
"243","CA_st_13_fall",0.0175878808599748
"244","CA_es_13_fall",0.0186936905799851
"245","CA_tu_13_frost",0.00999547132573907
"246","CA_pl_13_frost",0.0105288978664681
